Internal ID Variant (Do Not Edit),SKU,Items Name (Do Not Edit)
75603366,1laren,(PROMO) 1L Aren
75603369,1lcaramel,(PROMO) 1L Caramel
75603393,CharcoalLiter,(PROMO) 1L Charcoal Latte
75603385,1lchoco,(PROMO) 1L Chocolate
75603377,1lredvelvet,(PROMO) 1L Red Velvet
75603362,1lwildmint,(PROMO) 1L Wild Mint
75603380,escappu1,(PROMO) Iced Cappuccino
75836175,1Lmtcha,1L Matcha Latte
75603384,amer1,Americano
75603367,cappu1,Cappuccino
75603378,CBHOT1,Crème Brûlée
75603359,esp2,Doppio
75603390,damascus,El Damascus
75603358,sign1,El Inocente
75603387,Charcoal01,Especial Carbon
75603370,esp1,Espresso
75790263,tender1,Filete De Lomo
75790224,steakchic1,Filete De Pollo
75603361,coklatpanas1,Hot Chocolate
75603368,hotRV1,Hot Red Velvet
75603373,esamer1,Iced Americano
75603372,escoklat,Iced Chocolate
75603375,aren1,Iced Coffee Aren
75603374,eska2,Iced Coffee Caramel
75603379,eska3,Iced Coffee Mint
75603381,esrv1,Iced Red Velvet
75603360,japan1,Japanese Iced Coffee
75603371,latte1,Latte
75603388,Charcoal02,Latte Toxico
75603383,lemon221,Lemonicano
75603394,mtch001,Matcha Latte
75603363,mocca1,Moccacino
75603391,namaste,Namaste
75603365,sign2,Sangre FRÍA
75603389,santoria,Santoria
75790297,sirloin1,Solomillo
75603392,sundaymorn,Sunday Morning
75603382,sign3,Tierra Del Cielo
75603376,tubruk1,Tubruk
75603364,v60,V60
75603357,viet1,Vietnam Drip
76862214,wedges01,Wedges Potato
